transaction_id,mall_name,branch_name,transaction_date,tax_amount,transaction_amount,transaction_type,transaction_status,rag_text,year,month,week,weekday,hour,is_refund,is_failed
JO-2504-8511-73742,C Mall,C Mall Irbid,2025-02-16 17:25:00,1.32,17.86,Sale,Failed,Transaction ID JO-2504-8511-73742 at C Mall (C Mall Irbid) on 16/02/2025 17:25 was a Sale of 17.86 JOD with 1.32 JOD tax. Status: Failed.,2025,2,7,Sunday,17,False,True
JO-2504-2185-69867,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 17:17:00,0.66,8.96,Sale,Failed,Transaction ID JO-2504-2185-69867 at Y Mall (Y Mall Tla'a Al-Ali) on 16/02/2025 17:17 was a Sale of 8.96 JOD with 0.66 JOD tax. Status: Failed.,2025,2,7,Sunday,17,False,True
JO-2504-5174-36943,Z Mall,Z Mall Gardens,2025-02-16 16:45:00,0.06,0.8,Sale,Failed,Transaction ID JO-2504-5174-36943 at Z Mall (Z Mall Gardens) on 16/02/2025 16:45 was a Sale of 0.8 JOD with 0.06 JOD tax. Status: Failed.,2025,2,7,Sunday,16,False,True
JO-2504-7313-88510,Z Mall,Z Mall Al Jubeiha,2025-02-16 16:18:00,0.56,7.49,Sale,Failed,Transaction ID JO-2504-7313-88510 at Z Mall (Z Mall Al Jubeiha) on 16/02/2025 16:18 was a Sale of 7.49 JOD with 0.56 JOD tax. Status: Failed.,2025,2,7,Sunday,16,False,True
JO-2504-8951-16361,Z Mall,Z Mall Al Bayader,2025-02-16 15:54:00,0.66,8.96,Sale,Failed,Transaction ID JO-2504-8951-16361 at Z Mall (Z Mall Al Bayader) on 16/02/2025 15:54 was a Sale of 8.96 JOD with 0.66 JOD tax. Status: Failed.,2025,2,7,Sunday,15,False,True
JO-2504-9668-67355,Y Mall,Y Mall Dabouq,2025-02-16 15:29:00,0.06,0.8,Sale,Failed,Transaction ID JO-2504-9668-67355 at Y Mall (Y Mall Dabouq) on 16/02/2025 15:29 was a Sale of 0.8 JOD with 0.06 JOD tax. Status: Failed.,2025,2,7,Sunday,15,False,True
JO-2504-6740-70282,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 15:05:00,0.48,6.55,Sale,Failed,Transaction ID JO-2504-6740-70282 at Y Mall (Y Mall Tla'a Al-Ali) on 16/02/2025 15:05 was a Sale of 6.55 JOD with 0.48 JOD tax. Status: Failed.,2025,2,7,Sunday,15,False,True
JO-2504-9288-95055,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 15:04:00,0.36,4.77,Sale,Failed,Transaction ID JO-2504-9288-95055 at Y Mall (Y Mall Tla'a Al-Ali) on 16/02/2025 15:04 was a Sale of 4.77 JOD with 0.36 JOD tax. Status: Failed.,2025,2,7,Sunday,15,False,True
JO-2504-5110-62917,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 15:02:00,0.24,3.27,Sale,Failed,Transaction ID JO-2504-5110-62917 at Y Mall (Y Mall Tla'a Al-Ali) on 16/02/2025 15:02 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Failed.,2025,2,7,Sunday,15,False,True
JO-2504-1180-93019,Z Mall,Z Mall Gardens,2025-02-16 14:57:00,0.24,3.27,Sale,Failed,Transaction ID JO-2504-1180-93019 at Z Mall (Z Mall Gardens) on 16/02/2025 14:57 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Failed.,2025,2,7,Sunday,14,False,True
JO-2504-2583-55476,Z Mall,Z Mall Gardens,2025-02-16 14:54:00,0.24,3.27,Sale,Failed,Transaction ID JO-2504-2583-55476 at Z Mall (Z Mall Gardens) on 16/02/2025 14:54 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Failed.,2025,2,7,Sunday,14,False,True
JO-2504-3075-52878,Y Mall,Y Mall Shmeisani,2025-02-16 14:40:00,1.39,18.58,Sale,Failed,Transaction ID JO-2504-3075-52878 at Y Mall (Y Mall Shmeisani) on 16/02/2025 14:40 was a Sale of 18.58 JOD with 1.39 JOD tax. Status: Failed.,2025,2,7,Sunday,14,False,True
JO-2504-9995-21342,Z Mall,Z Mall Al Jubeiha,2025-02-16 14:37:00,0.47,6.4,Sale,Failed,Transaction ID JO-2504-9995-21342 at Z Mall (Z Mall Al Jubeiha) on 16/02/2025 14:37 was a Sale of 6.4 JOD with 0.47 JOD tax. Status: Failed.,2025,2,7,Sunday,14,False,True
JO-2504-7179-15984,C Mall,C Mall Aqaba,2025-02-16 14:29:00,0.25,3.4,Sale,Failed,Transaction ID JO-2504-7179-15984 at C Mall (C Mall Aqaba) on 16/02/2025 14:29 was a Sale of 3.4 JOD with 0.25 JOD tax. Status: Failed.,2025,2,7,Sunday,14,False,True
JO-2504-7023-65089,Y Mall,Y Mall Dabouq,2025-02-16 14:09:00,1.8,24.38,Sale,Failed,Transaction ID JO-2504-7023-65089 at Y Mall (Y Mall Dabouq) on 16/02/2025 14:09 was a Sale of 24.38 JOD with 1.8 JOD tax. Status: Failed.,2025,2,7,Sunday,14,False,True
JO-2504-9504-95095,Y Mall,Y Mall Shmeisani,2025-02-16 13:28:00,0.41,5.45,Sale,Failed,Transaction ID JO-2504-9504-95095 at Y Mall (Y Mall Shmeisani) on 16/02/2025 13:28 was a Sale of 5.45 JOD with 0.41 JOD tax. Status: Failed.,2025,2,7,Sunday,13,False,True
JO-2504-8178-32606,Z Mall,Z Mall Gardens,2025-02-16 13:26:00,0.46,6.24,Sale,Failed,Transaction ID JO-2504-8178-32606 at Z Mall (Z Mall Gardens) on 16/02/2025 13:26 was a Sale of 6.24 JOD with 0.46 JOD tax. Status: Failed.,2025,2,7,Sunday,13,False,True
JO-2504-8492-24504,Z Mall,Z Mall Gardens,2025-02-16 13:21:00,0.72,9.82,Sale,Failed,Transaction ID JO-2504-8492-24504 at Z Mall (Z Mall Gardens) on 16/02/2025 13:21 was a Sale of 9.82 JOD with 0.72 JOD tax. Status: Failed.,2025,2,7,Sunday,13,False,True
JO-2504-9260-90035,C Mall,C Mall Amman,2025-02-16 13:11:00,0.24,3.27,Sale,Failed,Transaction ID JO-2504-9260-90035 at C Mall (C Mall Amman) on 16/02/2025 13:11 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Failed.,2025,2,7,Sunday,13,False,True
JO-2504-9374-96459,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 13:04:00,0.37,4.91,Sale,Failed,Transaction ID JO-2504-9374-96459 at Y Mall (Y Mall Tla'a Al-Ali) on 16/02/2025 13:04 was a Sale of 4.91 JOD with 0.37 JOD tax. Status: Failed.,2025,2,7,Sunday,13,False,True
JO-2504-4640-85130,Y Mall,Y Mall Shmeisani,2025-02-16 12:15:00,0.48,6.55,Sale,Failed,Transaction ID JO-2504-4640-85130 at Y Mall (Y Mall Shmeisani) on 16/02/2025 12:15 was a Sale of 6.55 JOD with 0.48 JOD tax. Status: Failed.,2025,2,7,Sunday,12,False,True
JO-2504-6613-24121,Y Mall,Y Mall Dabouq,2025-02-16 12:15:00,0.24,3.27,Sale,Failed,Transaction ID JO-2504-6613-24121 at Y Mall (Y Mall Dabouq) on 16/02/2025 12:15 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Failed.,2025,2,7,Sunday,12,False,True
JO-2504-4996-72918,C Mall,C Mall Aqaba,2025-02-16 12:12:00,0.24,3.27,Sale,Failed,Transaction ID JO-2504-4996-72918 at C Mall (C Mall Aqaba) on 16/02/2025 12:12 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Failed.,2025,2,7,Sunday,12,False,True
JO-2504-4490-89991,Z Mall,Z Mall Al Bayader,2025-02-16 11:50:00,0.66,8.96,Sale,Failed,Transaction ID JO-2504-4490-89991 at Z Mall (Z Mall Al Bayader) on 16/02/2025 11:50 was a Sale of 8.96 JOD with 0.66 JOD tax. Status: Failed.,2025,2,7,Sunday,11,False,True
JO-2504-2201-10335,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 11:43:00,0.28,3.8,Sale,Failed,Transaction ID JO-2504-2201-10335 at Y Mall (Y Mall Tla'a Al-Ali) on 16/02/2025 11:43 was a Sale of 3.8 JOD with 0.28 JOD tax. Status: Failed.,2025,2,7,Sunday,11,False,True
JO-2504-2585-27520,C Mall,C Mall Irbid,2025-02-16 11:42:00,0.28,3.8,Sale,Failed,Transaction ID JO-2504-2585-27520 at C Mall (C Mall Irbid) on 16/02/2025 11:42 was a Sale of 3.8 JOD with 0.28 JOD tax. Status: Failed.,2025,2,7,Sunday,11,False,True
JO-2504-2189-92656,C Mall,C Mall Irbid,2025-02-16 11:24:00,0.25,3.4,Sale,Failed,Transaction ID JO-2504-2189-92656 at C Mall (C Mall Irbid) on 16/02/2025 11:24 was a Sale of 3.4 JOD with 0.25 JOD tax. Status: Failed.,2025,2,7,Sunday,11,False,True
JO-2504-6453-56419,C Mall,C Mall Irbid,2025-02-16 10:42:00,0.24,3.27,Sale,Failed,Transaction ID JO-2504-6453-56419 at C Mall (C Mall Irbid) on 16/02/2025 10:42 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Failed.,2025,2,7,Sunday,10,False,True
JO-2504-7427-57136,Z Mall,Z Mall Gardens,2025-02-16 10:20:00,0.66,8.96,Sale,Failed,Transaction ID JO-2504-7427-57136 at Z Mall (Z Mall Gardens) on 16/02/2025 10:20 was a Sale of 8.96 JOD with 0.66 JOD tax. Status: Failed.,2025,2,7,Sunday,10,False,True
JO-2504-2200-76230,Z Mall,Z Mall Gardens,2025-02-16 10:07:00,0.24,3.27,Sale,Failed,Transaction ID JO-2504-2200-76230 at Z Mall (Z Mall Gardens) on 16/02/2025 10:07 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Failed.,2025,2,7,Sunday,10,False,True
JO-2504-6110-80081,C Mall,C Mall Aqaba,2025-02-16 09:48:00,1.31,17.8,Sale,Failed,Transaction ID JO-2504-6110-80081 at C Mall (C Mall Aqaba) on 16/02/2025 9:48 was a Sale of 17.8 JOD with 1.31 JOD tax. Status: Failed.,2025,2,7,Sunday,9,False,True
JO-2504-7743-51682,C Mall,C Mall Amman,2025-02-16 09:19:00,0.7,9.52,Sale,Failed,Transaction ID JO-2504-7743-51682 at C Mall (C Mall Amman) on 16/02/2025 9:19 was a Sale of 9.52 JOD with 0.7 JOD tax. Status: Failed.,2025,2,7,Sunday,9,False,True
JO-2504-6952-52415,Z Mall,Z Mall Al Bayader,2025-02-15 20:46:00,1.26,17.01,Sale,Failed,Transaction ID JO-2504-6952-52415 at Z Mall (Z Mall Al Bayader) on 15/02/2025 20:46 was a Sale of 17.01 JOD with 1.26 JOD tax. Status: Failed.,2025,2,7,Saturday,20,False,True
JO-2504-4804-72665,C Mall,C Mall Amman,2025-02-15 18:55:00,0.66,8.96,Sale,Failed,Transaction ID JO-2504-4804-72665 at C Mall (C Mall Amman) on 15/02/2025 18:55 was a Sale of 8.96 JOD with 0.66 JOD tax. Status: Failed.,2025,2,7,Saturday,18,False,True
JO-2504-4946-35671,C Mall,C Mall Amman,2025-02-15 18:09:00,0.59,7.89,Sale,Failed,Transaction ID JO-2504-4946-35671 at C Mall (C Mall Amman) on 15/02/2025 18:09 was a Sale of 7.89 JOD with 0.59 JOD tax. Status: Failed.,2025,2,7,Saturday,18,False,True
JO-2504-7774-42518,Y Mall,Y Mall Tla'a Al-Ali,2025-02-15 17:47:00,0.66,8.96,Sale,Failed,Transaction ID JO-2504-7774-42518 at Y Mall (Y Mall Tla'a Al-Ali) on 15/02/2025 17:47 was a Sale of 8.96 JOD with 0.66 JOD tax. Status: Failed.,2025,2,7,Saturday,17,False,True
JO-2504-8507-62212,Z Mall,Z Mall Gardens,2025-02-15 16:45:00,0.72,9.75,Sale,Failed,Transaction ID JO-2504-8507-62212 at Z Mall (Z Mall Gardens) on 15/02/2025 16:45 was a Sale of 9.75 JOD with 0.72 JOD tax. Status: Failed.,2025,2,7,Saturday,16,False,True
JO-2504-6769-99828,Z Mall,Z Mall Al Bayader,2025-02-15 16:44:00,0.66,8.96,Sale,Failed,Transaction ID JO-2504-6769-99828 at Z Mall (Z Mall Al Bayader) on 15/02/2025 16:44 was a Sale of 8.96 JOD with 0.66 JOD tax. Status: Failed.,2025,2,7,Saturday,16,False,True
JO-2504-5702-62970,Z Mall,Z Mall Al Bayader,2025-02-15 16:33:00,0.66,8.96,Sale,Failed,Transaction ID JO-2504-5702-62970 at Z Mall (Z Mall Al Bayader) on 15/02/2025 16:33 was a Sale of 8.96 JOD with 0.66 JOD tax. Status: Failed.,2025,2,7,Saturday,16,False,True
JO-2504-8222-61678,Z Mall,Z Mall Al Bayader,2025-02-15 16:25:00,0.24,3.27,Sale,Failed,Transaction ID JO-2504-8222-61678 at Z Mall (Z Mall Al Bayader) on 15/02/2025 16:25 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Failed.,2025,2,7,Saturday,16,False,True
JO-2504-6716-53055,Y Mall,Y Mall Shmeisani,2025-02-15 16:21:00,0.29,3.9,Sale,Failed,Transaction ID JO-2504-6716-53055 at Y Mall (Y Mall Shmeisani) on 15/02/2025 16:21 was a Sale of 3.9 JOD with 0.29 JOD tax. Status: Failed.,2025,2,7,Saturday,16,False,True
JO-2504-6587-52273,C Mall,C Mall Amman,2025-02-15 16:16:00,1.6,21.55,Sale,Failed,Transaction ID JO-2504-6587-52273 at C Mall (C Mall Amman) on 15/02/2025 16:16 was a Sale of 21.55 JOD with 1.6 JOD tax. Status: Failed.,2025,2,7,Saturday,16,False,True
JO-2504-7892-68203,C Mall,C Mall Aqaba,2025-02-15 16:14:00,0.25,3.4,Sale,Completed,Transaction ID JO-2504-7892-68203 at C Mall (C Mall Aqaba) on 15/02/2025 16:14 was a Sale of 3.4 JOD with 0.25 JOD tax. Status: Completed.,2025,2,7,Saturday,16,False,False
JO-2504-9682-23048,C Mall,C Mall Amman,2025-02-15 16:13:00,0.24,3.27,Sale,Completed,Transaction ID JO-2504-9682-23048 at C Mall (C Mall Amman) on 15/02/2025 16:13 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Completed.,2025,2,7,Saturday,16,False,False
JO-2504-1616-31930,C Mall,C Mall Aqaba,2025-02-15 16:12:00,0.87,11.71,Sale,Completed,Transaction ID JO-2504-1616-31930 at C Mall (C Mall Aqaba) on 15/02/2025 16:12 was a Sale of 11.71 JOD with 0.87 JOD tax. Status: Completed.,2025,2,7,Saturday,16,False,False
JO-2504-3551-21696,Z Mall,Z Mall Gardens,2025-02-15 16:09:00,1.16,15.65,Sale,Completed,Transaction ID JO-2504-3551-21696 at Z Mall (Z Mall Gardens) on 15/02/2025 16:09 was a Sale of 15.65 JOD with 1.16 JOD tax. Status: Completed.,2025,2,7,Saturday,16,False,False
JO-2504-2639-31037,Z Mall,Z Mall Al Bayader,2025-02-15 16:03:00,0.16,2.16,Sale,Completed,Transaction ID JO-2504-2639-31037 at Z Mall (Z Mall Al Bayader) on 15/02/2025 16:03 was a Sale of 2.16 JOD with 0.16 JOD tax. Status: Completed.,2025,2,7,Saturday,16,False,False
JO-2504-8048-49321,C Mall,C Mall Amman,2025-02-15 15:52:00,0.35,4.68,Sale,Completed,Transaction ID JO-2504-8048-49321 at C Mall (C Mall Amman) on 15/02/2025 15:52 was a Sale of 4.68 JOD with 0.35 JOD tax. Status: Completed.,2025,2,7,Saturday,15,False,False
JO-2504-9702-31670,Z Mall,Z Mall Al Jubeiha,2025-02-15 15:52:00,1.24,16.68,Sale,Completed,Transaction ID JO-2504-9702-31670 at Z Mall (Z Mall Al Jubeiha) on 15/02/2025 15:52 was a Sale of 16.68 JOD with 1.24 JOD tax. Status: Completed.,2025,2,7,Saturday,15,False,False
JO-2504-9370-85671,C Mall,C Mall Irbid,2025-02-15 15:36:00,0.66,8.96,Sale,Completed,Transaction ID JO-2504-9370-85671 at C Mall (C Mall Irbid) on 15/02/2025 15:36 was a Sale of 8.96 JOD with 0.66 JOD tax. Status: Completed.,2025,2,7,Saturday,15,False,False
JO-2504-3090-52986,Z Mall,Z Mall Al Jubeiha,2025-02-15 15:24:00,0.24,3.27,Sale,Completed,Transaction ID JO-2504-3090-52986 at Z Mall (Z Mall Al Jubeiha) on 15/02/2025 15:24 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Completed.,2025,2,7,Saturday,15,False,False
JO-2504-3858-69497,C Mall,C Mall Amman,2025-02-15 15:02:00,0.6,8.11,Sale,Completed,Transaction ID JO-2504-3858-69497 at C Mall (C Mall Amman) on 15/02/2025 15:02 was a Sale of 8.11 JOD with 0.6 JOD tax. Status: Completed.,2025,2,7,Saturday,15,False,False
JO-2504-2700-15540,C Mall,C Mall Aqaba,2025-02-15 14:44:00,0.42,5.72,Sale,Completed,Transaction ID JO-2504-2700-15540 at C Mall (C Mall Aqaba) on 15/02/2025 14:44 was a Sale of 5.72 JOD with 0.42 JOD tax. Status: Completed.,2025,2,7,Saturday,14,False,False
JO-2504-5493-42425,C Mall,C Mall Irbid,2025-02-15 14:34:00,0.42,5.72,Sale,Completed,Transaction ID JO-2504-5493-42425 at C Mall (C Mall Irbid) on 15/02/2025 14:34 was a Sale of 5.72 JOD with 0.42 JOD tax. Status: Completed.,2025,2,7,Saturday,14,False,False
JO-2504-7222-35079,C Mall,C Mall Amman,2025-02-15 14:31:00,0.24,3.27,Sale,Completed,Transaction ID JO-2504-7222-35079 at C Mall (C Mall Amman) on 15/02/2025 14:31 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Completed.,2025,2,7,Saturday,14,False,False
JO-2504-7842-43008,Z Mall,Z Mall Al Jubeiha,2025-02-15 14:29:00,0.66,8.96,Sale,Completed,Transaction ID JO-2504-7842-43008 at Z Mall (Z Mall Al Jubeiha) on 15/02/2025 14:29 was a Sale of 8.96 JOD with 0.66 JOD tax. Status: Completed.,2025,2,7,Saturday,14,False,False
JO-2504-8494-62254,C Mall,C Mall Amman,2025-02-15 14:25:00,0.72,9.82,Sale,Completed,Transaction ID JO-2504-8494-62254 at C Mall (C Mall Amman) on 15/02/2025 14:25 was a Sale of 9.82 JOD with 0.72 JOD tax. Status: Completed.,2025,2,7,Saturday,14,False,False
JO-2504-2905-98654,Y Mall,Y Mall Dabouq,2025-02-15 14:18:00,0.75,10.01,Sale,Completed,Transaction ID JO-2504-2905-98654 at Y Mall (Y Mall Dabouq) on 15/02/2025 14:18 was a Sale of 10.01 JOD with 0.75 JOD tax. Status: Completed.,2025,2,7,Saturday,14,False,False
JO-2504-8607-38748,C Mall,C Mall Amman,2025-02-15 14:15:00,0.24,3.27,Sale,Completed,Transaction ID JO-2504-8607-38748 at C Mall (C Mall Amman) on 15/02/2025 14:15 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Completed.,2025,2,7,Saturday,14,False,False
JO-2504-7058-82438,Z Mall,Z Mall Gardens,2025-02-15 14:13:00,0.27,3.68,Sale,Completed,Transaction ID JO-2504-7058-82438 at Z Mall (Z Mall Gardens) on 15/02/2025 14:13 was a Sale of 3.68 JOD with 0.27 JOD tax. Status: Completed.,2025,2,7,Saturday,14,False,False
JO-2504-9319-91097,C Mall,C Mall Irbid,2025-02-15 13:58:00,0.24,3.27,Sale,Completed,Transaction ID JO-2504-9319-91097 at C Mall (C Mall Irbid) on 15/02/2025 13:58 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Completed.,2025,2,7,Saturday,13,False,False
JO-2504-8846-88305,Y Mall,Y Mall Tla'a Al-Ali,2025-02-15 13:51:00,0.25,3.4,Sale,Completed,Transaction ID JO-2504-8846-88305 at Y Mall (Y Mall Tla'a Al-Ali) on 15/02/2025 13:51 was a Sale of 3.4 JOD with 0.25 JOD tax. Status: Completed.,2025,2,7,Saturday,13,False,False
JO-2504-8846-90693,C Mall,C Mall Aqaba,2025-02-15 13:49:00,0.66,8.96,Sale,Completed,Transaction ID JO-2504-8846-90693 at C Mall (C Mall Aqaba) on 15/02/2025 13:49 was a Sale of 8.96 JOD with 0.66 JOD tax. Status: Completed.,2025,2,7,Saturday,13,False,False
JO-2504-7795-30480,C Mall,C Mall Aqaba,2025-02-15 13:45:00,0.48,6.55,Sale,Completed,Transaction ID JO-2504-7795-30480 at C Mall (C Mall Aqaba) on 15/02/2025 13:45 was a Sale of 6.55 JOD with 0.48 JOD tax. Status: Completed.,2025,2,7,Saturday,13,False,False
JO-2504-8475-25372,C Mall,C Mall Amman,2025-02-15 13:40:00,1.44,19.4,Sale,Completed,Transaction ID JO-2504-8475-25372 at C Mall (C Mall Amman) on 15/02/2025 13:40 was a Sale of 19.4 JOD with 1.44 JOD tax. Status: Completed.,2025,2,7,Saturday,13,False,False
JO-2504-5531-87191,Z Mall,Z Mall Al Jubeiha,2025-02-15 13:16:00,0.24,3.27,Sale,Completed,Transaction ID JO-2504-5531-87191 at Z Mall (Z Mall Al Jubeiha) on 15/02/2025 13:16 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Completed.,2025,2,7,Saturday,13,False,False
JO-2504-2467-45264,C Mall,C Mall Amman,2025-02-15 13:15:00,0.37,4.91,Sale,Completed,Transaction ID JO-2504-2467-45264 at C Mall (C Mall Amman) on 15/02/2025 13:15 was a Sale of 4.91 JOD with 0.37 JOD tax. Status: Completed.,2025,2,7,Saturday,13,False,False
JO-2504-7838-43166,Z Mall,Z Mall Al Jubeiha,2025-02-15 12:58:00,1.43,19.18,Sale,Completed,Transaction ID JO-2504-7838-43166 at Z Mall (Z Mall Al Jubeiha) on 15/02/2025 12:58 was a Sale of 19.18 JOD with 1.43 JOD tax. Status: Completed.,2025,2,7,Saturday,12,False,False
JO-2504-4661-86469,Y Mall,Y Mall Shmeisani,2025-02-15 12:56:00,0.24,3.27,Sale,Completed,Transaction ID JO-2504-4661-86469 at Y Mall (Y Mall Shmeisani) on 15/02/2025 12:56 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Completed.,2025,2,7,Saturday,12,False,False
JO-2504-2599-70403,C Mall,C Mall Aqaba,2025-02-15 12:47:00,0.6,8.11,Sale,Completed,Transaction ID JO-2504-2599-70403 at C Mall (C Mall Aqaba) on 15/02/2025 12:47 was a Sale of 8.11 JOD with 0.6 JOD tax. Status: Completed.,2025,2,7,Saturday,12,False,False
JO-2504-4128-15689,Z Mall,Z Mall Gardens,2025-02-15 12:46:00,0.48,6.57,Sale,Completed,Transaction ID JO-2504-4128-15689 at Z Mall (Z Mall Gardens) on 15/02/2025 12:46 was a Sale of 6.57 JOD with 0.48 JOD tax. Status: Completed.,2025,2,7,Saturday,12,False,False
JO-2504-3716-45839,Z Mall,Z Mall Al Jubeiha,2025-02-15 12:40:00,0.97,13.11,Sale,Completed,Transaction ID JO-2504-3716-45839 at Z Mall (Z Mall Al Jubeiha) on 15/02/2025 12:40 was a Sale of 13.11 JOD with 0.97 JOD tax. Status: Completed.,2025,2,7,Saturday,12,False,False
JO-2504-6970-65197,Z Mall,Z Mall Al Jubeiha,2025-02-15 12:32:00,0.24,3.27,Sale,Completed,Transaction ID JO-2504-6970-65197 at Z Mall (Z Mall Al Jubeiha) on 15/02/2025 12:32 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Completed.,2025,2,7,Saturday,12,False,False
JO-2504-1316-84768,C Mall,C Mall Irbid,2025-02-15 12:31:00,0.48,6.55,Sale,Completed,Transaction ID JO-2504-1316-84768 at C Mall (C Mall Irbid) on 15/02/2025 12:31 was a Sale of 6.55 JOD with 0.48 JOD tax. Status: Completed.,2025,2,7,Saturday,12,False,False
